Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,29.420000,29.924999,28.610001,28.750000,24.785585,4129400
2016-01-05,28.924999,29.500000,28.750000,29.410000,25.354578,2680400
2016-01-06,28.840000,29.490000,28.785000,29.200001,25.173532,2004600
2016-01-07,28.674999,28.799999,28.025000,28.025000,24.160557,3137200
2016-01-08,28.139999,28.795000,28.025000,28.475000,24.548504,4122200
2016-01-11,28.500000,29.020000,27.684999,27.725000,23.901926,2931800
2016-01-12,27.605000,28.245001,27.344999,27.920000,24.070036,2863200
2016-01-13,28.115000,28.330000,27.295000,27.504999,23.712259,2953000
2016-01-14,27.750000,28.084999,27.405001,28.084999,24.212284,2646600
2016-01-15,27.674999,27.900000,26.920000,27.900000,24.052795,4168600
2016-01-18,27.934999,27.934999,26.995001,27.174999,23.427765,2463400
2016-01-19,27.785000,27.830000,27.065001,27.350000,23.578636,3262600
2016-01-20,27.014999,27.549999,26.674999,27.389999,23.613117,3659200
2016-01-21,27.115000,27.764999,26.915001,27.570000,23.768299,3125800
2016-01-22,27.690001,28.655001,27.445000,28.639999,24.690754,4271000
2016-01-26,28.395000,28.395000,27.059999,27.680000,23.863131,3099000
2016-01-27,27.725000,28.629999,27.370001,28.584999,24.643335,3289400
2016-01-28,28.870001,29.254999,28.004999,28.820000,24.845930,2692200
2016-01-29,29.030001,29.945000,28.709999,29.690001,25.595966,4818800
2016-02-01,29.480000,29.690001,28.655001,29.240000,25.208019,3407600
2016-02-02,28.780001,29.035000,28.385000,28.385000,24.470917,2058400
2016-02-03,28.700001,28.990000,28.350000,28.745001,24.781277,3200200
2016-02-04,29.100000,29.655001,28.860001,29.150000,25.130426,2761600
2016-02-05,29.250000,29.500000,28.705000,28.900000,24.914902,2612800
2016-02-10,28.809999,28.930000,28.445000,28.840000,24.863176,1534400
2016-02-11,28.514999,28.750000,27.955000,28.495001,24.565744,1881200
2016-02-12,28.530001,29.245001,28.530001,29.245001,25.212326,2897000
2016-02-15,29.450001,29.934999,29.010000,29.174999,25.151981,1692000
2016-02-16,29.035000,29.690001,29.000000,29.549999,25.475273,2299200
2016-02-17,29.584999,30.375000,29.559999,30.049999,25.906324,3502400
2016-02-18,31.165001,31.165001,30.510000,30.950001,26.682220,3619000
2016-02-19,30.885000,30.885000,30.250000,30.420000,26.225306,2031200
2016-02-22,31.094999,31.379999,30.605000,31.120001,26.828779,2645600
2016-02-23,31.070000,31.350000,30.705000,30.969999,26.699467,2965600
2016-02-24,30.385000,31.165001,30.049999,31.160000,26.863264,2154800
2016-02-25,30.700001,31.000000,30.150000,30.799999,27.252588,2088200
2016-02-26,31.055000,31.389999,30.559999,30.775000,27.230463,2333000
2016-02-29,31.190001,31.555000,30.855000,31.424999,27.805599,4051800
2016-03-01,31.590000,32.355000,31.400000,32.000000,28.314375,2551000
2016-03-02,32.000000,32.485001,31.820000,32.369999,28.641762,3457400
2016-03-03,32.669998,32.669998,32.669998,32.669998,28.907206,3403400
2016-03-04,32.669998,33.544998,32.650002,33.320000,29.482342,6899200
2016-03-07,33.689999,33.689999,32.775002,33.224998,29.398285,3683200
2016-03-08,33.250000,33.580002,32.665001,32.935001,29.141685,5755200
2016-03-09,33.264999,33.415001,32.834999,32.895000,29.106291,2942400
2016-03-10,33.290001,33.395000,32.584999,33.395000,29.548708,4254600
2016-03-11,33.250000,33.560001,32.810001,33.384998,29.539854,4689800
2016-03-14,33.250000,33.650002,32.355000,32.955002,29.159384,2003200
2016-03-15,32.669998,33.095001,32.270000,33.095001,29.283260,2800000
2016-03-16,33.095001,33.430000,32.740002,33.174999,29.354042,2572800
2016-03-17,34.389999,34.990002,33.605000,34.680000,30.685709,5491200
2016-03-18,34.990002,35.025002,33.500000,34.099998,30.172504,4310200
2016-03-21,34.334999,34.665001,34.070000,34.224998,30.283106,3318800
2016-03-22,34.224998,34.535000,33.945000,34.459999,30.491041,2491400
2016-03-23,34.494999,34.865002,34.240002,34.834999,30.822853,2492600
2016-03-24,34.790001,34.895000,34.294998,34.860001,30.844975,1681800
2016-03-28,35.014999,35.150002,34.665001,34.889999,30.871513,1641200
2016-03-29,34.994999,35.529999,34.884998,35.450001,31.367020,2590200
2016-03-30,35.700001,36.070000,35.345001,35.500000,31.411261,2534000
2016-03-31,34.939999,34.939999,34.939999,34.939999,30.915754,3400
2016-04-01,34.639999,34.860001,34.325001,34.755001,30.752062,2188200
2016-04-04,33.810001,33.810001,33.810001,33.810001,29.915911,5000
2016-04-05,34.220001,34.220001,34.220001,34.220001,30.278688,4400
2016-04-06,34.884998,34.884998,34.884998,34.884998,30.867090,7400
2016-04-07,35.380001,35.380001,35.380001,35.380001,31.305086,200
2016-04-08,35.500000,36.224998,35.494999,35.799999,31.676708,3729800
2016-04-11,35.349998,35.349998,35.349998,35.349998,31.278536,801000
2016-04-12,35.945000,35.945000,35.945000,35.945000,31.805008,7600
2016-04-13,35.630001,35.630001,35.630001,35.630001,31.526287,17000
2016-04-14,36.080002,36.419998,35.915001,36.000000,31.853672,2161400
2016-04-15,36.044998,36.500000,36.000000,36.450001,32.251842,2292600
2016-04-18,35.910000,36.860001,35.744999,36.855000,32.610199,2962400
2016-04-19,36.689999,36.689999,36.689999,36.689999,32.464199,20400
2016-04-20,36.750000,36.750000,35.705002,36.115002,31.955431,2756400
2016-04-22,35.990002,37.000000,35.799999,36.849998,32.605774,4389400
2016-04-25,36.735001,36.779999,36.230000,36.549999,32.340324,1562600
2016-04-26,36.575001,36.724998,35.855000,36.064999,31.911188,2313000
2016-04-27,36.384998,36.505001,35.750000,36.255001,32.079304,3512800
2016-04-28,36.299999,36.840000,36.160000,36.544998,32.335899,2393000
2016-04-29,36.799999,36.840000,35.950001,36.209999,32.039482,2437600
2016-05-02,36.115002,36.389999,35.459999,35.840000,31.712097,2460800
2016-05-03,35.709999,36.049999,35.404999,35.700001,31.588223,1502800
2016-05-04,35.799999,36.105000,35.494999,36.105000,31.946575,1295800
2016-05-05,36.375000,36.380001,35.814999,35.935001,31.796160,1094400
2016-05-06,35.930000,36.340000,35.610001,35.814999,31.689981,1333400
2016-05-09,35.849998,35.974998,35.180000,35.849998,31.720949,1499800
2016-05-10,36.145000,36.384998,35.810001,36.384998,32.194332,2903800
2016-05-11,37.000000,37.000000,36.020000,36.400002,32.207600,2345400
2016-05-12,36.785000,36.785000,35.555000,36.375000,32.185482,2595000
2016-05-13,36.549999,36.549999,34.855000,35.500000,31.411261,3334800
2016-05-16,35.384998,35.895000,35.169998,35.775002,31.654589,1297200
2016-05-17,35.849998,36.160000,35.145000,35.650002,31.543983,1914000
2016-05-18,35.490002,35.625000,34.529999,34.764999,30.760918,3070600
2016-05-19,34.720001,35.134998,34.340000,34.974998,30.946724,1935000
2016-05-20,35.325001,35.865002,34.875000,35.150002,31.101574,2764000
2016-05-23,34.919998,35.330002,34.540001,35.299999,31.234297,2460800
2016-05-24,35.465000,35.474998,35.020000,35.279999,31.216597,1894000
2016-05-25,35.439999,35.794998,35.169998,35.169998,31.119267,1394600
2016-05-27,35.400002,35.500000,34.875000,35.285000,31.221029,1545600
2016-05-30,35.160000,35.255001,34.715000,35.099998,31.057331,611600
2016-05-31,34.985001,34.985001,34.125000,34.125000,30.194628,3296000
2016-06-01,34.299999,34.430000,33.810001,34.235001,30.291964,2170800
2016-06-02,34.105000,34.685001,34.105000,34.625000,30.637039,3640400
