Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,32.520000,32.619999,30.200001,30.350000,21.062695,37400
2016-01-05,30.459999,30.840000,30.230000,30.400000,21.097393,36100
2016-01-06,30.020000,30.450001,29.790001,30.450001,21.132099,7700
2016-01-07,29.900000,30.520000,29.379999,30.440001,21.125153,45300
2016-01-08,30.219999,30.219999,28.790001,28.980000,20.111923,24600
2016-01-11,29.490000,29.500000,29.010000,29.299999,20.334000,3500
2016-01-12,28.990000,29.610001,28.980000,29.400000,20.403400,3300
2016-01-13,29.450001,30.000000,29.150000,29.250000,20.299301,11700
2016-01-14,29.010000,29.889999,28.650000,29.889999,20.743458,27700
2016-01-15,29.260000,29.410000,29.100000,29.100000,20.195198,4900
2016-01-18,28.530001,29.000000,28.410000,29.000000,20.125803,4500
2016-01-19,29.100000,29.700001,29.049999,29.700001,20.611601,23400
2016-01-20,29.110001,29.490000,28.500000,29.490000,20.465857,19900
2016-01-21,28.820000,29.969999,28.809999,29.500000,20.472801,35900
2016-01-22,29.950001,30.490000,29.950001,30.400000,21.097393,12600
2016-01-26,30.100000,30.100000,29.070000,29.629999,20.563019,11000
2016-01-27,29.809999,30.680000,28.940001,30.500000,21.166792,54500
2016-01-28,30.120001,30.120001,29.600000,29.650000,20.576900,14900
2016-01-29,29.830000,31.000000,29.610001,31.000000,21.513788,10100
2016-02-01,30.100000,30.190001,29.600000,30.010000,20.826736,12000
2016-02-02,29.620001,30.440001,28.900000,29.500000,20.472801,9800
2016-02-03,30.190001,30.190001,29.510000,29.950001,20.785097,14000
2016-02-04,30.219999,31.370001,29.809999,31.370001,21.770569,17200
2016-02-05,31.370001,31.370001,30.350000,30.350000,21.062695,3500
2016-02-10,29.990000,30.150000,29.500000,29.799999,20.680996,11100
2016-02-11,29.500000,29.600000,29.010000,29.299999,20.334000,12300
2016-02-12,29.230000,30.750000,29.230000,30.750000,21.340288,6200
2016-02-15,30.900000,31.490000,30.250000,31.000000,21.513788,7700
2016-02-16,30.469999,32.500000,30.400000,32.500000,22.554777,10500
2016-02-17,31.580000,32.799999,31.580000,32.799999,22.762978,17800
2016-02-18,32.009998,32.700001,31.549999,32.689999,22.686638,13800
2016-02-19,32.220001,32.419998,32.220001,32.299999,22.415977,28600
2016-02-22,32.610001,33.169998,32.400002,33.000000,22.901777,4000
2016-02-23,32.509998,32.520000,31.830000,32.360001,22.457623,7900
2016-02-24,31.459999,31.500000,31.000000,31.500000,21.860785,21400
2016-02-25,31.959999,32.000000,31.100000,31.990000,22.200844,6800
2016-02-26,31.959999,32.200001,31.700001,32.200001,22.346582,45900
2016-02-29,31.959999,33.950001,31.530001,33.950001,23.561064,44700
2016-03-01,34.009998,34.450001,33.139999,34.450001,23.986538,24500
2016-03-02,33.810001,34.180000,33.770000,34.180000,23.798555,29700
2016-03-03,34.450001,35.299999,34.139999,35.299999,24.578375,36700
2016-03-04,35.299999,36.130001,34.349998,34.880001,24.285936,38600
2016-03-07,35.000000,35.490002,34.660000,35.480000,24.703701,49300
2016-03-08,35.480000,35.750000,34.599998,34.599998,24.090984,15200
2016-03-09,35.200001,35.570000,34.759998,34.900002,24.299866,10200
2016-03-10,35.299999,35.500000,34.619999,34.619999,24.104908,23600
2016-03-11,34.700001,35.490002,34.700001,35.369999,24.627106,14500
2016-03-14,35.400002,35.599998,34.919998,35.570000,24.766363,27800
2016-03-15,34.549999,35.540001,34.380001,34.660000,24.132759,19000
2016-03-16,34.939999,37.480000,34.939999,37.480000,26.096235,14400
2016-03-17,38.000000,38.639999,36.820000,38.099998,26.527927,26900
2016-03-18,38.099998,38.689999,37.650002,38.599998,26.876060,10200
2016-03-21,38.259998,39.150002,38.259998,38.689999,26.938726,13300
2016-03-22,38.889999,39.049999,38.480000,39.049999,27.189394,3600
2016-03-23,38.560001,38.700001,37.959999,38.200001,26.597567,16700
2016-03-24,37.709999,38.310001,37.250000,38.310001,26.674150,5100
2016-03-28,39.000000,39.270000,38.509998,39.200001,27.293829,8000
2016-03-29,39.200001,40.250000,39.200001,39.250000,27.328648,18800
2016-03-30,39.700001,40.410000,39.660000,39.660000,27.614115,7600
